丙 辰 ， 袁 术 表 策 行 殄 寇 将 军 。 殄 寇 将 军 号 ， 盖 始 于 此 。 b 策 e 将 m 吕 范 n 言 于 策 曰 ： 「 今 将 军 事 业 日 大 ， 士 众 日 盛 ， 而 纲 纪 犹 有 不 整 者 ， 范 愿 暂 领 都 督 ， 佐 将 军 部 分 之 。 」 分 ， 扶 问 翻	6	PER	PER	策	吕范
时 袁 、 曹 、 公 孙 首 尾 相 连 ， 融 兵 弱 粮 寡 ， 孤 立 一 隅 ， 不 与 相 通 。 左 承 祖 劝 融 宜 自 讬 强 国 ， b 融 e 不 听 而 杀 之 ， m 刘 义 逊 n 弃 去 。 靑 州 刺 史 袁 谭 攻 融 ， 自 春 至 夏 ， 战 士 所 馀 才 数 百 人 ， 流 矢 交 集 ， 而 融 犹 隐 几 读 书 ， 谈 笑 自 若	9	PER	PER	融	刘义逊
乃 说 绍 南 连 刘 表 。 绍 遣 b 备 e 将 本 兵 复 至 汝 南 ， 说 ， 输 芮 翻 。 复 ， 扶 又 翻 ； 下 同 。 与 贼 m 龚 都 n 等 合 ， 众 数 千 人 。 曹 操 遣 将 蔡 杨 击 之 ， 为 备 所 杀	6	PER	PER	备	龚都
刘 繇 使 豫 章 太 守 朱 皓 攻 袁 术 所 用 太 守 诸 葛 玄 ， b 玄 e 退 保 m 西 城 n 。 西 城 ， 在 豫 章 南 昌 县 西	12	PER	LOC	玄	西城
1 6 初 ， 吴 王 遣 于 禁 护 军 浩 周 、 浩 ， 姓 也 。 姓 谱 ： 汉 有 b 靑 州 e 刺 史 m 浩 赏 n 。 军 司 马 东 里 衮 东 里 之 先 ， 以 居 里 为 氏	4	LOC	PER	靑州	浩赏
任 其 事 ， 任 ， 音 壬 。 颜 良 、 文 丑 勇 将 也 统 其 兵 ， 殆 难 克 乎 ！ 」 彧 曰 ： 「 b 绍 e 兵 虽 多 而 法 不 整 ， 田 丰 刚 而 犯 上 ， 许 攸 贪 而 不 治 ， 审 配 专 而 无 谋 ， 逢 纪 果 而 自 用 ； 此 数 人 者 ， 势 不 相 容 ， 必 生 内 变 。 m 颜 良 n 、 文 丑 ， 一 夫 之 勇 耳 ， 可 一 战 而 禽 也 。 」	6	PER	PER	绍	颜良
b 策 e 收 得 勳 兵 二 千 馀 人 ， 船 千 艘 ， 遂 进 击 m 黄 祖 n 。 十 二 月 ， 辛 亥 ， 策 军 至 沙 羡 ， 沙 羡 县 ， 属 江 夏 郡	8	PER	PER	策	黄祖
气 绝 而 不 续 者 也 ， 是 以 圣 贤 重 之 。 昔 汉 文 帝 欲 杀 犯 跸 者 ， b 廷 尉 e m 张 释 之 n 曰 ： 『 方 其 时 ， 上 使 诛 之 则 已 ， 今 下 廷 尉 ， 廷 尉 ， 天 下 之 平 ， 不 可 倾 也 。 』 事 见 十 四 卷 汉 文 帝 三 年	2	OFI	PER	廷尉	张释之
8 冬 ， 十 月 ， 乙 卯 ， b 帝 e 还 m 洛 阳 n 。 时 左 仆 射 徐 宣 总 统 留 事 ， 汉 成 帝 罢 中 书 宦 者 ， 置 尙 书 五 人 ， 一 人 为 仆 射 ， 四 人 分 为 四 曹 ， 一 曰 常 侍 曹 ， 二 曰 二 千 石 曹 ， 三 曰 民 曹 ， 四 曰 主 客 曹 ； 后 又 置 三 公 曹 ， 是 为 五 曹	12	PER	LOC	帝	洛阳
8 初 ， 吕 布 劝 王 允 尽 杀 董 卓 部 曲 ， 允 曰 ： 「 此 辈 无 罪 ， 不 可 。 」 布 欲 以 卓 财 物 班 赐 公 卿 、 将 校 ， 允 又 不 从 。 b 允 e 素 以 剑 客 遇 m 布 n ， 布 负 其 功 劳 ， 多 自 夸 伐 ， 旣 失 意 望 ， 渐 不 相 平 。 允 性 刚 稜 疾 恶 ， 贤 曰 ： 稜 ， 威 稜 也 ， 音 力 登 翻	28	PER	PER	允	布
