王 益 怒 ， 遣 人 告 枢 密 使 蒋 玄 晖 与 何 太 后 私 通 ， 杀 玄 晖 而 焚 之 ， 遂 弑 太 后 于 积 善 宫 。 又 杀 b 宰 相 e m 柳 璨 n ， 太 常 卿 张 延 范 车 裂 以 徇	王益怒，遣人告枢密使蒋玄晖与何太后私通，杀玄晖而焚之，遂弑太后于积善宫。又杀宰相柳璨，太常卿张延范车裂以徇	王 益 怒 ， 遣 人 告 枢 密 使 蒋 玄 晖 与 何 太 后 私 通 ， 杀 玄 晖 而 焚 之 ， 遂 弑 太 后 于 积 善 宫 。 又 杀 b 宰 相 e m 柳 璨 n ， 太 常 卿 张 延 范 车 裂 以 徇	宰相柳璨	0	任职(e2,e1)	JOB	38 40	PER	40 42	宰相	柳璨	1
初 ， 孙 晟 使 于 周 ， 留 不 遣 ， 而 世 宗 问 晟 江 南 虚 实 ， 不 对 ， 世 宗 怒 ， 杀 b 晟 e 。 周 已 u 罢 v 兵 ， m 景 n 乃 赠 刘 仁 赡 太 师 ， 追 封 鲁 国 公	初，孙晟使于周，留不遣，而世宗问晟江南虚实，不对，世宗怒，杀晟。周已罢兵，景乃赠刘仁赡太师，追封晟鲁国公	初 ， 孙 晟 使 于 周 ， 留 不 遣 ， 而 世 宗 问 晟 江 南 虚 实 ， 不 对 ， 世 宗 怒 ， 杀 b 晟 e 。 周 已 罢 兵 ， m 景 n 乃 赠 刘 仁 赡 太 师 ， 追 封 鲁 国 公	晟罢景	1	隶属于(e1,e2)	PER	30 31	PER	37 38	晟	景	1
明 宗 即 位 ， 在 礼 镇 沧 州 ， 敏 乃 复 得 居 丧 。 服 除 ， 累 拜 兵 部 侍 郎 。 冯 赟 留 守 北 京 ， 辟 b 敏 e m 副 留 守 n 。 赟 入 为 枢 密 使 ， 拜 吏 部 侍 郎	明宗即位，在礼镇沧州，敏乃复得居丧。服除，累拜兵部侍郎。冯赟留守北京，辟敏副留守。赟入为枢密使，敏拜吏部侍郎	明 宗 即 位 ， 在 礼 镇 沧 州 ， 敏 乃 复 得 居 丧 。 服 除 ， 累 拜 兵 部 侍 郎 。 冯 赟 留 守 北 京 ， 辟 b 敏 e m 副 留 守 n 。 赟 入 为 枢 密 使 ， 拜 吏 部 侍 郎	敏副留守	2	任职(e1,e2)	PER	36 37	JOB	37 40	敏	副留守	1
卷 三 · 魏 书 三 ◎ 明 帝 纪 第 三 b 明 皇 帝 e u 讳 v 叡 ， 字 元 仲 ， m 文 帝 n 太 子 也 。 生 而 太 祖 爱 之 ， 常 令 在 左 右	卷三·魏书三◎明帝纪第三明皇帝讳叡，字元仲，文帝太子也。生而太祖爱之，常令在左右	卷 三 · 魏 书 三 ◎ 明 帝 纪 第 三 b 明 皇 帝 e 讳 叡 ， 字 元 仲 ， m 文 帝 n 太 子 也 。 生 而 太 祖 爱 之 ， 常 令 在 左 右	明皇帝讳文帝	3	子(e2,e1)	PER	12 15	PER	22 24	明皇帝	文帝	1
文 徽 军 屯 建 阳 ， 福 州 将 李 仁 达 杀 王 继 昌 自 称 留 后 ， 泉 州 将 留 从 效 亦 杀 其 b 刺 史 e m 黄 绍 颇 n ， 皆 送 款 于 文 徽 。	文徽军屯建阳，福州将李仁达杀王继昌自称留后，泉州将留从效亦杀其刺史黄绍颇，皆送款于文徽。	文 徽 军 屯 建 阳 ， 福 州 将 李 仁 达 杀 王 继 昌 自 称 留 后 ， 泉 州 将 留 从 效 亦 杀 其 b 刺 史 e m 黄 绍 颇 n ， 皆 送 款 于 文 徽 。	刺史黄绍颇	0	任职(e2,e1)	JOB	31 33	PER	33 36	刺史	黄绍颇	1
百 姓 昭 明 ， 合 和 万 国 。 乃 命 羲 、 和 ， 敬 顺 昊 天 ， 数 法 日 月 星 辰 ， 敬 授 民 时 。 分 命 羲 仲 ， 居 b 郁 夷 e u ， 曰 v m 旸 谷 n 。 敬 道 日 出 ， 便 程 东 作	百姓昭明，合和万国。乃命羲、和，敬顺昊天，数法日月星辰，敬授民时。分命羲仲，居郁夷，曰旸谷。敬道日出，便程东作	百 姓 昭 明 ， 合 和 万 国 。 乃 命 羲 、 和 ， 敬 顺 昊 天 ， 数 法 日 月 星 辰 ， 敬 授 民 时 。 分 命 羲 仲 ， 居 b 郁 夷 e ， 曰 m 旸 谷 n 。 敬 道 日 出 ， 便 程 东 作	郁夷，曰旸谷	4	同名于(e1,e2)	LOC	39 41	LOC	43 45	郁夷	旸谷	1
时 天 下 旱 、 蝗 ， 民 饿 死 者 岁 十 数 万 ， 而 君 臣 穷 极 奢 侈 以 相 夸 尚 如 此 。 明 年 春 ， 契 丹 入 寇 ， b 延 广 e 从 出 帝 北 征 u 为 v m 御 营 使 n ， 相 拒 澶 、 魏 之 间	时天下旱、蝗，民饿死者岁十数万，而君臣穷极奢侈以相夸尚如此。明年春，契丹入寇，延广从出帝北征为御营使，相拒澶、魏之间	时 天 下 旱 、 蝗 ， 民 饿 死 者 岁 十 数 万 ， 而 君 臣 穷 极 奢 侈 以 相 夸 尚 如 此 。 明 年 春 ， 契 丹 入 寇 ， b 延 广 e 从 出 帝 北 征 为 m 御 营 使 n ， 相 拒 澶 、 魏 之 间	延广为御营使	2	任职(e1,e2)	PER	39 41	JOB	47 50	延广	御营使	1
周 王 孙 满 曰 “ 秦 师 无 礼 ， 不 败 何 待 ” 兵 至 滑 ， b 郑 e u 贩 卖 v 贾 人 m 弦 高 n ， 持 十 二 牛 将 卖 之 周 ， 见 秦 兵 ， 恐 死 虏 ， 因 献 其 牛 ， 曰 “ 闻 大 国 将 诛 郑， 郑君 谨 修 守 御 备 ， 使 臣 以 牛 十 二 劳 军 士 ” 秦 三 将 军 相 谓 曰 “ 将 袭 郑， 郑今 已 觉 之 ， 往 无 及 已 ” 灭 滑	周王孙满曰“秦师无礼，不败何待”兵至滑，郑贩卖贾人弦高，持十二牛将卖之周，见秦兵，恐死虏，因献其牛，曰“闻大国将诛郑，郑君谨修守御备，使臣以牛十二劳军士”秦三将军相谓曰“将袭郑，郑今已觉之，往无及已”灭滑	周 王 孙 满 曰 “ 秦 师 无 礼 ， 不 败 何 待 ” 兵 至 滑 ， b 郑 e 贩 卖 贾 人 m 弦 高 n ， 持 十 二 牛 将 卖 之 周 ， 见 秦 兵 ， 恐 死 虏 ， 因 献 其 牛 ， 曰 “ 闻 大 国 将 诛 郑， 郑君 谨 修 守 御 备 ， 使 臣 以 牛 十 二 劳 军 士 ” 秦 三 将 军 相 谓 曰 “ 将 袭 郑， 郑今 已 觉 之 ， 往 无 及 已 ” 灭 滑	郑贩卖弦高	5	隶属于(e2,e1)	ORG	20 21	PER	25 27	郑	弦高	1
秋 七 月 丁 卯 ， 司 徒 陈 矫 薨 。 孙 权 遣 将 朱 然 等 二 万 人 围 江 夏 郡 ， b 荆 州 刺 史 e m 胡 质 n 等 击 之 ， 然 退 走 。 初 ， 权 遣 使 浮 海 与 高 句 骊 通 ， 欲 袭 辽 东	秋七月丁卯，司徒陈矫薨。孙权遣将朱然等二万人围江夏郡，荆州刺史胡质等击之，然退走。初，权遣使浮海与高句骊通，欲袭辽东	秋 七 月 丁 卯 ， 司 徒 陈 矫 薨 。 孙 权 遣 将 朱 然 等 二 万 人 围 江 夏 郡 ， b 荆 州 刺 史 e m 胡 质 n 等 击 之 ， 然 退 走 。 初 ， 权 遣 使 浮 海 与 高 句 骊 通 ， 欲 袭 辽 东	荆州刺史胡质	0	任职(e2,e1)	JOB	27 31	PER	31 33	荆州刺史	胡质	1
不 从 便 为 失 异 俗 意 ， 从 之 则 无 益 事 ” 兴 至 ， 遣 校 尉 b 范 陵 e m 陵 n 至 羌 中 ， 陵果 教 羌 ， 使 自 请 为 属 国 都 尉 。 公 曰 “ 吾 预 知 当 尔 ， 非 圣 也 ， 但 更 事 多 耳 ”	不从便为失异俗意，从之则无益事”兴至，遣校尉范陵至羌中，陵果教羌，使自请为属国都尉。公曰“吾预知当尔，非圣也，但更事多耳”	不 从 便 为 失 异 俗 意 ， 从 之 则 无 益 事 ” 兴 至 ， 遣 校 尉 b 范 陵 e m 陵 n 至 羌 中 ， 陵果 教 羌 ， 使 自 请 为 属 国 都 尉 。 公 曰 “ 吾 预 知 当 尔 ， 非 圣 也 ， 但 更 事 多 耳 ”	范陵陵	4	同名于(e1,e2)	PER	22 24	PER	23 24	范陵	陵	1
